clean_text,sentimen
G bisa login  Udah masukin no rek nik tetep,negatif
Ini gimana caranya login  disuruh isi nomor telepon tapi kode negara Indonesia kaga ada bijimane tuhh,negatif
Dikit dikit diblokir mana ngaktifinnya ribet harus telpon pake pulsa 20rb belum selesai masalah pulsa abis ulang lagi telpon dari awal ,negatif
Salah satu bank yg selalu updet  mantap,negatif
kemarin saya top up saldo sebesar 200k dan terpotong 10k untuk pajak dan saldo tersisa 190k dan saya belanjakan sebesar 175k  seharusnya masih 15k kenapa jadi 7k,negatif
Terimakasih Admin myBCA  dari awal mendaftar sampai bisa buka rekening tidak ada kendala  Saya pengguna baru myBCA ,positif
Amanah dan semoga terus amanah,negatif
Good,positif
Good,positif
Mantap,positif
setiap mau log in pakai wi fi rumah muter terus padahal wi fi di pake apk lain lancar lancar aja,positif
Mantap,positif
Error,negatif
Semoga mmbantu,negatif
Keren,negatif
bintang 4 dulu kurang lengkap fitur nya kalo bisa tambahin menu E wallet masa kalah sama Brimo  BRI ,negatif
Good aplication,positif
Okok,negatif
baru daftar rekening suda terdaftar  abis di tf sma org notif tfnya masuk   tapi saldonya ga nambah,negatif
saya mau login ulang di pernagkat yang baru tapi verifikasi wajah gagal terus  kondisi pencahayaan dll bagus  entah bug atau apa  tolong perbaiki,positif
Makin kesini makin gak bisa digunakan   hp ram 6 udah mulai gk bisa pakai gak jelas,positif
Mohon Layanan CS My BCA Nya Di Perbaiki Karena CS My BCA Tidak Profesional Berpura  Tidak Mendengar Panggilan Padahal Komunikasi 2 Menit Berjalan Lancar Namun Finishing Selalu Beralibi Krna 3x Tidak Ada Jawaban Kita Putuskan Panggilan InI Itu   Saja Alasan CS Nya  Mau Buat Laporan Ja Sulit Nya Seperti Di Kantor Polisi Dan Kalau Ada Bintang Di Bawah Bintang 1 Itu Lah Yg Pantas Di Apresiasi Ke CS My BCA ,positif
Praktis setiap sa at dalam satu gemgaman,negatif
Good,positif
Bagus banget ,positif
Very good  ,positif
BINTANG SATU DULU SOALNYA BELOM BISA DAFTAR GAK PERNAH DAPAT KODE VERIFIKASI,positif
Sangat bermanfaat dan aplikasi terbaik  ,positif
Mantap,positif
Mayan banyak membantu,negatif
Pakek Aplikasi My BCA bulai kurang lebih 2 September  Tampilan UI Nya sangat bagus  warnanya biru Muda terang  gak terlalu Mencolok  Fasililitas Menunya Lengkap  Transfer dll  setelah di Pakek Transfer selama 2 Bulan  Sungguh Luar Biasa Cepatnya    Bagus sekali  tp Sayang Aplikasi ini Msh Mempunyai 2 Kekurangan  MB Nya Lumayan besar 54 MB  terus gak ada Notifikasi dr Aplikasi ini  gak ada Penanda lagu sprt BRIMO yg Khas  tlg di ksh Pendanda Lagu sprt BRIMO tp Lagun Notifinya Bunyinya MyBCA,positif
Membantu keuangan kita,negatif
Sngat memuaskan  karna tidak pernah hilang sldo,positif
Kenapa tiap hari selalu ada notice pengeluaran dn pemasukan  tapi saya cek saldo di mbnking  saldo ga berkurang dan ga bertambah,negatif
Mantaaf BCA,negatif
