source,user_name,review_description,review_date
Google Play,Pengguna Google,Semua ok,2024-11-20 06:36:37
Google Play,Pengguna Google,sangat membantu,2024-11-20 05:09:50
Google Play,Pengguna Google,"Aplikasi bagus ini Keselnya cuman minta update Mulu,,tapi selebihnya good job sih👍",2024-11-20 03:47:31
Google Play,Pengguna Google,Sering terjadi kesalahan. Mintak konfrmasi no Hp namun tidak ada pilihan indonesia kan lucu.,2024-11-20 00:42:18
Google Play,Pengguna Google,"aksesbilitas udh dimatiin sudah versi terbaru juga tapi tiap mau log in tidak bisa masuk, salah trs padahal udh bener kenapa ya",2024-11-19 22:12:49
Google Play,Pengguna Google,Saya sangat kecewa mendaftar kan membuat atm bca online harus nunggu hari yg sangat lama jadi saya kasih bintang 1 jika cepat saya kasih bintang 5,2024-11-19 19:52:26
Google Play,Pengguna Google,Gak. Bisa masuk,2024-11-19 19:06:47
Google Play,Pengguna Google,"Astaga, aplikasinya banyak bug nya. Masa minta kode otp terus, sampe kesedot habis pulsa ku. Masukin akun malah disuruh namah nomor telepon, gitu aja terus sampe pulsa ku habis. Developernya gimana woy😡😠😠",2024-11-19 17:57:03
Google Play,Pengguna Google,Sangat membantu,2024-11-19 15:18:48
Google Play,Pengguna Google,"Boros anjir dibandingkan bank lain, masa transfer 50rb yang masuk 40rb ditambah dalam satu bulan diambil biaya transaksi 10rb(kalau aja uang hasil kerja dari bos bisa ke bank lain mending bank lain aja)",2024-11-19 14:59:22
Google Play,Pengguna Google,"saya awalmya ingin transper,.lalu klik pilihan transper....tapi setelah itu saya tidak jadi untuk transper..dan setelah itu saya kena potongan biaya admin sebesar Rp. 5000 dan Rp. 14.000...menurut saya ini keterlaluan untuk pelayanan BCA",2024-11-19 13:26:59
Google Play,Pengguna Google,Semantara saya kasih Bintang 4 (empat),2024-11-19 10:34:17
Google Play,Pengguna Google,myBCA ...saya sarankan pembayaran qris sumber dana kartu kredit..biar kami bisa jajan di abang abang grobak...terus transaksi paylater minimal 10 ribu biar kami bisa buat jajan di abang gerobak...paylater bca minimal 100 ribu itu susah buat jajan... lihat livin by mandiri minimal trasaksi Paylater 10 ribu rupiah dan bisa sumber dana kartu kredit juga. Saya tunggu fitur anda 😃,2024-11-19 08:40:58
Google Play,Pengguna Google,Good,2024-11-19 08:26:30
Google Play,Pengguna Google,"KEBIASAAN KODE OTP SUKA GA KEKIRIM PADAHAL PULSA UDAH KEPOTONG. COBA UPDATE DONG PAKE WA JANGAN SMS TERUS, BOLEH SMS TAPI JANGAN SELALU BEBANKAN PULSA KE CUSTOMER.",2024-11-19 07:50:10
Google Play,Pengguna Google,G bisa login. Udah masukin no rek nik tetep,2024-11-19 05:57:54
Google Play,Pengguna Google,"Ini gimana caranya login, disuruh isi nomor telepon tapi kode negara Indonesia kaga ada bijimane tuhh",2024-11-19 05:16:13
Google Play,Pengguna Google,Dikit-dikit diblokir mana ngaktifinnya ribet harus telpon pake pulsa 20rb belum selesai masalah pulsa abis ulang lagi telpon dari awal.,2024-11-19 02:58:21
Google Play,Pengguna Google,"Salah satu bank yg selalu updet, mantap",2024-11-19 01:35:36
